City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,brisas de zicatela,15.8369,-97.0419,27.51,61,1,3.07,MX,1709653846
83,poronaysk,49.2167,143.1167,-20.42,94,28,1.49,RU,1709653846
84,khash,28.2211,61.2158,10.21,84,59,6.02,IR,1709653846
85,pangkalanbuun,-2.6833,111.6167,24.64,98,84,1.18,ID,1709653846
86,nogliki,51.8333,143.1667,-15.37,91,38,2.24,RU,1709653846
87,beykonak,36.3257,30.303,15.5,81,72,4.74,TR,1709653846
88,kamaishi,39.2667,141.8833,0.09,93,100,1.43,JP,1709653846
89,saipan,15.1355,145.701,26.39,83,40,4.63,MP,1709653847
90,chifeng,42.2683,118.9636,-5.5,43,92,3.33,CN,1709653847
91,qaqortoq,60.7167,-46.0333,-7.55,67,98,1.84,GL,1709653847
92,matabhanga,26.3333,89.2167,21.95,28,0,3.09,IN,1709653847
93,malmberget,67.1753,20.6549,-0.69,80,58,3.09,SE,1709653847
94,afaahiti,-17.75,-149.2833,25.93,80,47,5.39,PF,1709653847
95,margaret river,-33.95,115.0667,14.2,79,0,6.48,AU,1709653847
96,constitucion,-35.3333,-72.4167,20.17,59,6,4.19,CL,1709653595
97,mandiana,10.6333,-8.6833,40.21,7,13,2.74,GN,1709653848
98,rice lake,45.5061,-91.7382,1.47,45,0,2.57,US,1709653848
99,san antonio de pale,-1.4014,5.6325,28.04,81,89,6.79,GQ,1709653848
100,east london,-33.0153,27.9116,21.52,68,0,12.35,ZA,1709653800
101,papatowai,-46.5619,169.4708,8.94,83,88,4.82,NZ,1709653848
102,sao vicente,-23.9631,-46.3919,34.1,78,75,3.13,BR,1709653848
103,tura,25.5198,90.2201,18.09,25,0,0.76,IN,1709653848
104,highfields,-27.4518,151.9463,16.31,93,2,3.97,AU,1709653849
105,jiuquan,39.7432,98.5174,-1.55,48,62,2.69,CN,1709653849
106,marka,1.7159,44.7717,27.71,84,9,6.38,SO,1709653849
107,karad,17.2833,74.2,24.84,35,21,2.7,IN,1709653849
108,taoudenni,22.6783,-3.9836,31.41,6,4,5.34,ML,1709653849
109,magadan,59.5667,150.8,-15.14,79,99,3.79,RU,1709653849
110,miagao,10.6442,122.2352,26.02,69,1,2.77,PH,1709653849
111,opuwo,-18.0607,13.84,31.22,21,5,7.53,NA,1709653850
112,enewetak,11.3474,162.3373,25.94,80,100,11.21,MH,1709653850
113,korla,41.7597,86.1469,1.3,43,0,0.58,CN,1709653850
114,vilyuchinsk,52.9306,158.4028,-11.71,83,100,4.52,RU,1709653850
115,atafu village,-8.5421,-172.5159,28.75,76,71,4.91,TK,1709653850
116,kindu,-2.95,25.95,22.15,97,98,0.59,CD,1709653850
117,conde,-7.2597,-34.9075,26.7,78,40,4.12,BR,1709653850
118,cabo san lucas,22.8909,-109.9124,22.64,69,22,3.13,MX,1709653851
119,kormilovka,55.0026,74.1028,-7.47,95,100,4.67,RU,1709653851
120,harper,4.375,-7.7169,29.63,74,63,5.44,LR,1709653851
121,guiratinga,-16.3494,-53.7583,23.2,87,99,2.68,BR,1709653851
122,hebi,35.8992,114.1925,3.74,79,100,3.19,CN,1709653851
123,portland,45.5234,-122.6762,3.99,95,100,0.45,US,1709653270
124,qui nhon,13.7667,109.2333,23.91,93,1,2.46,VN,1709653851
125,acarau,-2.8856,-40.12,29.3,70,96,0.97,BR,1709653851
126,grand gaube,-20.0064,57.6608,27.22,83,100,0.45,MU,1709653852
127,waddan,29.1614,16.139,19.91,19,0,4.2,LY,1709653852
128,slave lake,55.2834,-114.769,-25.01,70,75,2.57,CA,1709653852
129,impfondo,1.6381,18.0667,37.89,27,94,0.55,CG,1709653852
130,yeniseysk,58.4497,92.1703,-5.03,90,100,3.13,RU,1709653852
131,rongelap,11.1635,166.8941,26.3,79,61,11.21,MH,1709653852
132,agat village,13.3886,144.6585,27.06,87,75,2.57,GU,1709653852
133,sisimiut,66.9395,-53.6735,-13.55,84,55,2.9,GL,1709653852
134,chonchi,-42.6128,-73.8092,16.56,48,100,1.1,CL,1709653853
135,hobyo,5.3505,48.5268,27.74,76,13,5.73,SO,1709653853
136,arteche,12.2645,125.4048,24.35,87,2,1.96,PH,1709653853
137,la passe,45.5549,-0.8967,9.45,79,82,7.55,FR,1709653853
138,pierre,44.3683,-100.351,4.36,61,0,6.17,US,1709653604
139,albany,42.6001,-73.9662,8.5,92,100,0.45,US,1709653674
140,qarazhal,48.0078,70.7903,-11.9,89,5,4.09,KZ,1709653853
141,klyuchi,52.2667,79.1667,-6.14,84,95,5.54,RU,1709653853
142,hermanus,-34.4187,19.2345,21.0,68,56,3.51,ZA,1709653854
143,kodinar,20.7903,70.7031,23.41,31,15,3.78,IN,1709653854
144,nafpaktos,38.3917,21.8275,15.07,76,93,3.47,GR,1709653854
145,el granada,37.5027,-122.4694,11.56,89,100,4.12,US,1709653854
146,lihue,21.9789,-159.3672,20.77,87,75,8.75,US,1709653842
147,valle de la pascua,9.2155,-66.0073,33.61,38,60,3.18,VE,1709653854
148,puerto ayora,-0.7393,-90.3518,27.98,91,30,4.02,EC,1709653854
149,parksville,49.3163,-124.3195,2.8,86,26,7.72,CA,1709653767
150,hit,33.6416,42.8251,18.31,37,1,0.61,IQ,1709653855
151,mozarlandia,-14.7447,-50.5706,28.76,66,86,1.28,BR,1709653855
152,quatre cocos,-20.2078,57.7625,27.06,77,100,6.12,MU,1709653855
153,dartmouth,44.6713,-63.5772,2.72,87,100,3.09,CA,1709653700
154,lastoursville,-0.8143,12.7287,29.7,69,79,1.74,GA,1709653855
155,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,86,40,4.92,RU,1709653855
156,olonkinbyen,70.9221,-8.7187,0.63,100,100,4.66,SJ,1709653855
157,taroa,8.7058,171.2275,26.45,71,91,11.93,MH,1709653855
158,vallenar,-28.5708,-70.7581,29.03,41,0,2.86,CL,1709653856
159,ardakan,32.31,54.0175,11.99,48,22,2.09,IR,1709653856
160,carutapera,-1.195,-46.02,30.51,64,98,3.06,BR,1709653856
161,tolanaro,-25.0319,46.9987,27.04,89,75,10.8,MG,1709653856
162,puerto aysen,-45.4,-72.7,18.42,76,78,2.4,CL,1709653856
163,ribeira grande,38.5167,-28.7,16.54,72,40,10.29,PT,1709653856
164,watampone,-4.5386,120.3279,26.17,89,95,1.63,ID,1709653856
165,irtyshsk,53.3333,75.4572,-7.77,91,77,5.61,KZ,1709653857
166,fantanele,46.1167,21.4,15.95,48,20,3.6,RO,1709653857
167,kodiak,57.79,-152.4072,1.73,93,100,7.2,US,1709653682
168,beira,-19.8436,34.8389,32.05,74,40,6.26,MZ,1709653857
169,kuta,-8.7233,115.1723,28.97,83,40,2.24,ID,1709653857
170,labrador city,52.9463,-66.9114,0.1,80,100,3.09,CA,1709653857
171,esil,51.9556,66.4042,-12.91,98,31,3.42,KZ,1709653857
172,codrington,-38.2667,141.9667,14.28,59,48,0.66,AU,1709653858
173,georgetown,5.4112,100.3354,27.96,88,20,0.51,MY,1709653858
174,longyearbyen,78.2186,15.6401,-3.09,93,75,1.54,SJ,1709653858
175,quellon,-43.1167,-73.6167,15.54,62,100,4.08,CL,1709653858
176,mendeleyevsk,55.9082,52.2905,-2.42,95,97,2.7,RU,1709653858
177,akureyri,65.6835,-18.0878,4.96,65,75,1.03,IS,1709653858
178,walvis bay,-22.9575,14.5053,25.53,50,0,7.79,NA,1709653858
179,bilibino,68.0546,166.4372,-23.44,100,97,0.69,RU,1709653858
180,utrik,11.2278,169.8474,26.35,80,79,11.61,MH,1709653859
181,caconda,-13.7333,15.0667,23.76,65,31,2.56,AO,1709653859
182,arkalyk,50.2486,66.9114,-9.88,95,56,5.03,KZ,1709653859
183,bredasdorp,-34.5322,20.0403,19.18,60,86,5.72,ZA,1709653859
184,'ain el turk,35.7438,-0.7693,21.5,52,40,4.12,DZ,1709653859
185,anadyr,64.75,177.4833,-10.72,92,100,1.0,RU,1709653651
186,west island,-12.1568,96.8225,27.99,83,75,4.12,CC,1709653859
